psi,theta
-5.5,0.40623432
-5.51,0.40622553
-5.52,0.40621674
-5.53,0.4062079
-5.54,0.4061991
-5.55,0.40619028
-5.56,0.40618145
-5.57,0.40617263
-5.58,0.4061638
-5.59,0.40615496
-5.6,0.40614614
-5.61,0.40613732
-5.62,0.4061285
-5.63,0.40611964
-5.64,0.4061108
-5.6499999999999995,0.40610194
-5.66,0.40609312
-5.67,0.40608427
-5.68,0.40607542
-5.6899999999999995,0.4060666
-5.7,0.4060577
-5.71,0.40604886
-5.72,0.40603998
-5.7299999999999995,0.40603113
-5.74,0.40602228
-5.75,0.4060134
-5.76,0.40600455
-5.77,0.40599567
-5.78,0.40598682
-5.79,0.40597796
-5.8,0.40596902
-5.81,0.40596014
-5.82,0.4059513
-5.83,0.4059424
-5.84,0.40593353
-5.85,0.40592465
-5.86,0.40591574
-5.87,0.40590686
-5.88,0.40589797
-5.89,0.4058891
-5.8999999999999995,0.40588015
-5.91,0.40587124
-5.92,0.40586236
-5.93,0.40585345
-5.9399999999999995,0.4058445
-5.95,0.40583563
-5.96,0.40582675
-5.97,0.4058178
-5.9799999999999995,0.4058089
-5.99,0.40579998
-6.0,0.40579104
-6.01,0.40578213
-6.02,0.4057732
-6.03,0.40576428
-6.04,0.40575534
-6.05,0.4057464
-6.06,0.40573746
-6.07,0.40572855
-6.08,0.40571958
-6.09,0.40571067
-6.1,0.4057017
-6.11,0.40569276
-6.12,0.40568385
-6.13,0.40567487
-6.14,0.40566593
-6.15,0.405657
-6.16,0.40564805
-6.17,0.40563905
-6.18,0.4056301
-6.1899999999999995,0.40562114
-6.2,0.4056122
-6.21,0.40560323
-6.22,0.40559426
-6.2299999999999995,0.4055853
-6.24,0.4055763
-6.25,0.40556732
-6.26,0.40555835
-6.27,0.40554938
-6.28,0.4055404
-6.29,0.4055314
-6.3,0.4055224
-6.31,0.40551344
-6.32,0.40550447
-6.33,0.40549546
-6.34,0.40548646
-6.35,0.40547746
-6.36,0.40546846
-6.37,0.40545946
-6.38,0.40545046
-6.39,0.40544146
-6.4,0.40543246
-6.41,0.40542346
-6.42,0.40541446
-6.43,0.40540546
-6.4399999999999995,0.40539643
-6.45,0.40538743
-6.46,0.4053784
-6.47,0.40536937
-6.4799999999999995,0.40536034
-6.49,0.40535134
-6.5,0.40534228
-6.51,0.40533328
-6.52,0.40532422
-6.53,0.40531522
-6.54,0.4053062
-6.55,0.40529716
-6.56,0.40528813
-6.57,0.4052791
-6.58,0.40527004
-6.59,0.40526098
-6.6,0.40525198
-6.61,0.40524292
-6.62,0.40523386
-6.63,0.4052248
-6.64,0.40521574
-6.65,0.40520668
-6.66,0.40519762
-6.67,0.40518856
-6.68,0.4051795
-6.6899999999999995,0.40517044
-6.7,0.40516138
-6.71,0.40515232
-6.72,0.40514326
-6.7299999999999995,0.4051342
-6.74,0.40512514
-6.75,0.40511602
-6.76,0.40510696
-6.77,0.40509784
-6.78,0.40508878
-6.79,0.4050797
-6.8,0.40507063
-6.81,0.40506154
-6.82,0.40505245
-6.83,0.40504336
-6.84,0.40503427
-6.85,0.40502518
-6.86,0.40501606
-6.87,0.405007
-6.88,0.4049979
-6.89,0.40498877
-6.9,0.40497965
-6.91,0.4049706
-6.92,0.40496147
-6.93,0.40495238
-6.9399999999999995,0.40494326
-6.95,0.40493414
-6.96,0.40492505
-6.97,0.4049159
-6.9799999999999995,0.40490678
-6.99,0.4048977
-7.0,0.40488854
-7.01,0.40487942
-7.02,0.4048703
-7.03,0.40486115
-7.04,0.40485203
-7.05,0.4048429
-7.06,0.40483376
-7.07,0.40482464
-7.08,0.4048155
-7.09,0.40480638
-7.1,0.40479723
-7.11,0.40478805
-7.12,0.40477893
-7.13,0.40476978
-7.14,0.4047606
-7.15,0.40475148
-7.16,0.40474233
-7.17,0.40473318
-7.18,0.404724
-7.1899999999999995,0.40471488
-7.2,0.4047057
-7.21,0.40469652
-7.22,0.40468737
-7.2299999999999995,0.40467817
-7.24,0.40466905
-7.25,0.40465987
-7.26,0.4046507
-7.27,0.40464154
-7.28,0.40463236
-7.29,0.40462318
-7.3,0.404614
-7.31,0.40460485
-7.32,0.40459567
-7.33,0.40458646
-7.34,0.40457726
-7.35,0.40456808
-7.36,0.4045589
-7.37,0.40454972
-7.38,0.40454054
-7.39,0.4045313
-7.4,0.40452212
-7.41,0.40451294
-7.42,0.4045037
-7.43,0.40449452
-7.4399999999999995,0.40448532
-7.45,0.4044761
-7.46,0.4044669
-7.47,0.4044577
-7.4799999999999995,0.4044485
-7.49,0.40443927
-7.5,0.40443006
-7.51,0.40442082
-7.52,0.4044116
-7.53,0.4044024
-7.54,0.4043932
-7.55,0.40438396
-7.56,0.40437472
-7.57,0.4043655
-7.58,0.40435627
-7.59,0.40434706
-7.6,0.4043378
-7.61,0.40432858
-7.62,0.40431935
-7.63,0.4043101
-7.64,0.40430087
-7.65,0.40429163
-7.66,0.40428236
-7.67,0.4042731
-7.68,0.40426388
-7.6899999999999995,0.40425462
-7.7,0.40424538
-7.71,0.40423614
-7.72,0.4042269
-7.7299999999999995,0.4042176
-7.74,0.40420836
-7.75,0.4041991
-7.76,0.40418983
-7.77,0.4041806
-7.78,0.4041713
-7.79,0.40416205
-7.8,0.40415278
-7.81,0.4041435
-7.82,0.40413424
-7.83,0.40412495
-7.84,0.40411568
-7.85,0.4041064
-7.86,0.40409714
-7.87,0.40408784
-7.88,0.40407857
-7.89,0.40406927
-7.9,0.40406
-7.91,0.4040507
-7.92,0.4040414
-7.93,0.4040321
-7.94,0.4040228
-7.95,0.4040135
-7.96,0.40400425
-7.97,0.40399492
-7.9799999999999995,0.40398565
-7.99,0.40397638
-8.0,0.40396702
-8.01,0.40395772
-8.02,0.40394843
-8.03,0.40393913
-8.04,0.4039298
-8.05,0.4039205
-8.06,0.40391117
-8.07,0.40390188
-8.08,0.40389255
-8.09,0.40388322
-8.1,0.40387392
-8.11,0.40386456
-8.12,0.40385526
-8.13,0.40384594
-8.14,0.4038366
-8.15,0.40382728
-8.16,0.40381795
-8.17,0.4038086
-8.18,0.4037993
-8.19,0.40378994
-8.2,0.4037806
-8.209999999999999,0.40377122
-8.22,0.40376192
-8.23,0.40375257
-8.24,0.4037432
-8.25,0.4037339
-8.26,0.40372455
-8.27,0.4037152
-8.28,0.40370584
-8.29,0.40369648
-8.3,0.40368712
-8.31,0.40367776
-8.32,0.4036684
-8.33,0.40365905
-8.34,0.4036497
-8.35,0.40364033
-8.36,0.40363097
-8.37,0.40362155
-8.38,0.4036122
-8.39,0.40360284
-8.4,0.40359345
-8.41,0.40358412
-8.42,0.4035747
-8.43,0.40356535
-8.44,0.403556
-8.45,0.40354657
-8.459999999999999,0.40353718
-8.47,0.4035278
-8.48,0.40351844
-8.49,0.40350902
-8.5,0.40349966
-8.51,0.40349025
-8.52,0.4034809
-8.53,0.40347147
-8.54,0.40346208
-8.55,0.4034527
-8.56,0.40344328
-8.57,0.40343386
-8.58,0.40342447
-8.59,0.40341505
-8.6,0.40340567
-8.61,0.40339625
