,z,t,theta_train,psi_train
433,30.0,73.185,0.2434,-24.146
434,30.0,74.308,0.2431,-24.225
435,30.0,75.449,0.2427,-24.305
436,30.0,76.607,0.2424,-24.386
437,30.0,77.783,0.242,-24.466
438,30.0,78.976,0.2417,-24.547
439,30.0,80.189,0.2413,-24.629
440,30.0,81.419,0.241,-24.709
441,30.0,82.669,0.2406,-24.789
442,30.0,83.938,0.2403,-24.869
443,30.0,85.226,0.2399,-24.947
444,30.0,86.534,0.2396,-25.024
445,30.0,87.863,0.2392,-25.1
446,30.0,89.211,0.2389,-25.174
447,30.0,90.581,0.2386,-25.247
448,30.0,91.971,0.2383,-25.318
449,30.0,93.382,0.238,-25.387
450,30.0,94.816,0.2377,-25.456
451,30.0,96.271,0.2374,-25.523
452,30.0,97.749,0.2371,-25.589
453,30.0,99.249,0.2368,-25.656
454,30.0,100.772,0.2365,-25.721
455,30.0,102.319,0.2362,-25.785
456,30.0,103.89,0.236,-25.848
457,30.0,105.484,0.2357,-25.91
458,30.0,107.103,0.2354,-25.972
459,30.0,108.747,0.2352,-26.033
460,30.0,110.416,0.2349,-26.092
461,30.0,112.111,0.2346,-26.151
462,30.0,113.832,0.2344,-26.209
463,30.0,115.579,0.2341,-26.266
464,30.0,117.353,0.2339,-26.323
465,30.0,119.154,0.2336,-26.378
466,30.0,120.983,0.2334,-26.433
467,30.0,122.84,0.2332,-26.488
468,30.0,124.726,0.2329,-26.543
469,30.0,126.64,0.2327,-26.597
470,30.0,128.584,0.2324,-26.651
471,30.0,130.558,0.2322,-26.705
472,30.0,132.561,0.232,-26.759
473,30.0,134.596,0.2317,-26.813
474,30.0,136.662,0.2315,-26.867
475,30.0,138.76,0.2313,-26.92
476,30.0,140.889,0.231,-26.973
477,30.0,143.052,0.2308,-27.025
478,30.0,145.248,0.2306,-27.077
479,30.0,147.477,0.2304,-27.125
480,30.0,149.741,0.2302,-27.173
481,30.0,152.039,0.23,-27.22
482,30.0,154.373,0.2298,-27.266
483,30.0,156.742,0.2296,-27.312
484,30.0,159.148,0.2294,-27.357
485,30.0,161.591,0.2292,-27.402
486,30.0,164.071,0.229,-27.446
487,30.0,166.589,0.2288,-27.491
488,30.0,169.146,0.2286,-27.535
489,30.0,171.742,0.2284,-27.578
490,30.0,174.378,0.2282,-27.622
491,30.0,177.055,0.228,-27.665
492,30.0,179.772,0.2278,-27.707
493,30.0,182.532,0.2276,-27.75
494,30.0,185.333,0.2275,-27.791
495,30.0,188.178,0.2273,-27.832
496,30.0,191.066,0.2271,-27.872
497,30.0,193.999,0.2269,-27.912
498,30.0,196.977,0.2268,-27.947
499,30.0,200.0,0.2266,-27.979
500,36.0,0.1,0.4094,-0.691
501,36.0,0.102,0.4094,-0.704
502,36.0,0.103,0.4094,-0.71
503,36.0,0.105,0.4093,-0.721
504,36.0,0.106,0.4093,-0.727
505,36.0,0.108,0.4093,-0.739
506,36.0,0.11,0.4093,-0.75
507,36.0,0.111,0.4093,-0.756
508,36.0,0.113,0.4093,-0.769
509,36.0,0.115,0.4092,-0.781
510,36.0,0.116,0.4092,-0.787
511,36.0,0.118,0.4092,-0.799
512,36.0,0.12,0.4092,-0.811
513,36.0,0.122,0.4092,-0.823
514,36.0,0.124,0.4091,-0.836
515,36.0,0.126,0.4091,-0.848
516,36.0,0.128,0.4091,-0.859
517,36.0,0.13,0.4091,-0.871
518,36.0,0.132,0.409,-0.883
519,36.0,0.134,0.409,-0.894
520,36.0,0.136,0.409,-0.905
521,36.0,0.138,0.409,-0.916
522,36.0,0.14,0.4089,-0.927
523,36.0,0.142,0.4089,-0.938
524,36.0,0.144,0.4089,-0.949
525,36.0,0.146,0.4089,-0.96
526,36.0,0.149,0.4088,-0.978
527,36.0,0.151,0.4088,-0.989
528,36.0,0.153,0.4088,-1.001
529,36.0,0.156,0.4087,-1.018
530,36.0,0.158,0.4087,-1.029
531,36.0,0.16,0.4087,-1.041
532,36.0,0.163,0.4086,-1.058
533,36.0,0.165,0.4086,-1.069
534,36.0,0.168,0.4086,-1.086
535,36.0,0.17,0.4086,-1.097
536,36.0,0.173,0.4085,-1.113
537,36.0,0.176,0.4085,-1.129
538,36.0,0.178,0.4085,-1.139
539,36.0,0.181,0.4084,-1.154
540,36.0,0.184,0.4084,-1.169
541,36.0,0.187,0.4083,-1.185
542,36.0,0.19,0.4083,-1.201
543,36.0,0.193,0.4082,-1.216
544,36.0,0.195,0.4082,-1.227
545,36.0,0.198,0.4082,-1.243
546,36.0,0.202,0.4081,-1.264
547,36.0,0.205,0.4081,-1.28
548,36.0,0.208,0.408,-1.296
549,36.0,0.211,0.408,-1.312
550,36.0,0.214,0.4079,-1.328
551,36.0,0.217,0.4079,-1.344
552,36.0,0.221,0.4078,-1.365
553,36.0,0.224,0.4078,-1.38
554,36.0,0.228,0.4077,-1.4
555,36.0,0.231,0.4077,-1.415
556,36.0,0.235,0.4076,-1.434
557,36.0,0.238,0.4076,-1.448
